INFO 2022-11-11 13:25:59,141 autoreload 8970 139789055369216 Watching for file changes with StatReloader
DEBUG 2022-11-11 13:25:59,141 autoreload 8970 139789055369216 Waiting for apps ready_event.
DEBUG 2022-11-11 13:26:01,731 autoreload 8970 139789055369216 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2022-11-11 13:26:01,780 autoreload 8970 139789055369216 Watching dir /home/abe/Documents/project/django/nushat/locale with glob **/*.mo.
DEBUG 2022-11-11 13:26:01,780 autoreload 8970 139789055369216 Watching dir /home/abe/Documents/project/django/nushat/account/locale with glob **/*.mo.
DEBUG 2022-11-11 13:26:01,781 autoreload 8970 139789055369216 Watching dir /home/abe/.local/lib/python3.10/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
DEBUG 2022-11-11 13:26:01,781 autoreload 8970 139789055369216 Watching dir /home/abe/.local/lib/python3.10/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2022-11-11 13:26:01,782 autoreload 8970 139789055369216 Watching dir /home/abe/Documents/project/django/nushat/meta/locale with glob **/*.mo.
DEBUG 2022-11-11 13:26:01,782 autoreload 8970 139789055369216 Watching dir /home/abe/Documents/project/django/nushat/audio/locale with glob **/*.mo.
DEBUG 2022-11-11 13:26:01,885 autoreload 8970 139789055369216 File /home/abe/.local/lib/python3.10/site-packages/django/core/checks/urls.py first seen with mtime 1664276553.3487298
DEBUG 2022-11-11 13:26:01,885 autoreload 8970 139789055369216 File /home/abe/.local/lib/python3.10/site-packages/sqlparse/sql.py first seen with mtime 1664276551.4847
DEBUG 2022-11-11 13:26:01,885 autoreload 8970 139789055369216 File /usr/lib/python3.10/lib-dynload/_bz2.cpython-310-x86_64-linux-gnu.so first seen with mtime 1667415218.0
DEBUG 2022-11-11 13:26:01,886 autoreload 8970 139789055369216 File /home/abe/.local/lib/python3.10/site-packages/django/views/generic/edit.py first seen with mtime 1664276553.488732
DEBUG 2022-11-11 13:26:01,886 autoreload 8970 139789055369216 File /usr/lib/python3/dist-packages/urllib3/util/ssl_.py first seen with mtime 1624806138.0
DEBUG 2022-11-11 13:26:01,886 autoreload 8970 139789055369216 File /usr/lib/python3.10/xml/dom/__init__.py first seen with mtime 1667415218.0
DEBUG 2022-11-11 13:26:01,886 autoreload 8970 139789055369216 File /home/abe/Documents/project/django/nushat/account/__init__.py first seen with mtime 1664277411.2977397
DEBUG 2022-11-11 13:26:01,886 autoreload 8970 139789055369216 File /usr/lib/python3.10/asyncio/locks.py first seen with mtime 1667415218.0
DEBUG 2022-11-11 13:26:01,886 autoreload 8970 139789055369216 File /usr/lib/python3.10/urllib/parse.py first seen with mtime 1667415218.0
DEBUG 2022-11-11 13:26:01,886 autoreload 8970 139789055369216 File /home/abe/.local/lib/python3.10/site-packages/django/contrib/postgres/fields/citext.py first seen with mtime 1664276553.0687253
DEBUG 2022-11-11 13:26:01,886 autoreload 8970 139789055369216 File /usr/lib/python3.10/sysconfig.py first seen with mtime 1667415218.0
DEBUG 2022-11-11 13:26:01,886 autoreload 8970 139789055369216 File /home/abe/.local/lib/python3.10/site-packages/django/contrib/contenttypes/management/__init__.py first seen with mtime 1664276552.6967194
DEBUG 2022-11-11 13:26:01,887 autoreload 8970 139789055369216 File /usr/lib/python3.10/ast.py first seen with mtime 1667415218.0
DEBUG 2022-11-11 13:26:01,887 autoreload 8970 139789055369216 File /usr/lib/python3.10/json/encoder.py first seen with mtime 1667415218.0
DEBUG 2022-11-11 13:26:01,887 autoreload 8970 139789055369216 File /home/abe/.local/lib/python3.10/site-packages/django/contrib/postgres/fields/jsonb.py first seen with mtime 1664276553.0687253
DEBUG 2022-11-11 13:26:01,887 autoreload 8970 139789055369216 File /home/abe/.local/lib/python3.10/site-packages/sqlparse/filters/tokens.py first seen with mtime 1664276551.4887
DEBUG 2022-11-11 13:26:01,887 autoreload 8970 139789055369216 File /usr/lib/python3/dist-packages/jinja2/_identifier.py first seen with mtime 1581959696.0
DEBUG 2022-11-11 13:26:01,887 autoreload 8970 139789055369216 File /home/abe/.local/lib/python3.10/site-packages/django/db/migrations/exceptions.py first seen with mtime 1664276553.3927307
DEBUG 2022-11-11 13:26:01,887 autoreload 8970 139789055369216 File /usr/lib/python3/dist-packages/jinja2/nodes.py first seen with mtime 1644583847.0
DEBUG 2022-11-11 13:26:01,887 autoreload 8970 139789055369216 File /home/abe/.local/lib/python3.10/site-packages/redis/commands/cluster.py first seen with mtime 1664444810.5580287
DEBUG 2022-11-11 13:26:01,887 autoreload 8970 139789055369216 File /home/abe/.local/lib/python3.10/site-packages/redis/commands/redismodules.py first seen with mtime 1664444810.5620286
DEBUG 2022-11-11 13:26:01,887 autoreload 8970 139789055369216 File /usr/lib/python3/dist-packages/chardet/chardistribution.py first seen with mtime 1605650645.0
DEBUG 2022-11-11 13:26:01,888 autoreload 8970 139789055369216 File /home/abe/.local/lib/python3.10/site-packages/django/contrib/messages/storage/__init__.py first seen with mtime 1664276553.040725
DEBUG 2022-11-11 13:26:01,888 autoreload 8970 139789055369216 File /usr/lib/python3/dist-packages/yaml/error.py first seen with mtime 1611178924.0
DEBUG 2022-11-11 13:26:01,888 autoreload 8970 139789055369216 File /home/abe/.local/lib/python3.10/site-packages/sqlparse/engine/statement_splitter.py first seen with mtime 1664276551.4847
DEBUG 2022-11-11 13:26:01,888 autoreload 8970 139789055369216 File /usr/lib/python3/dist-packages/urllib3/util/request.py first seen with mtime 1624806138.0
DEBUG 2022-11-11 13:26:01,888 autoreload 8970 139789055369216 File /usr/lib/python3/dist-packages/jinja2/async_utils.py first seen with mtime 1636478278.0
DEBUG 2022-11-11 13:26:01,888 autoreload 8970 139789055369216 File /home/abe/.local/lib/python3.10/site-packages/django/contrib/postgres/forms/array.py first seen with mtime 1664276553.0687253
DEBUG 2022-11-11 13:26:01,888 autoreload 8970 139789055369216 File /home/abe/.local/lib/python3.10/site-packages/django/conf/urls/static.py first seen with mtime 1664276552.0647092
DEBUG 2022-11-11 13:26:01,888 autoreload 8970 139789055369216 File /usr/lib/python3.10/xml/etree/ElementPath.py first seen with mtime 1667415218.0
DEBUG 2022-11-11 13:26:01,888 autoreload 8970 139789055369216 File /home/abe/.local/lib/python3.10/site-packages/django/core/management/commands/__init__.py first seen with mtime 1664276553.3607302
DEBUG 2022-11-11 13:26:01,888 autoreload 8970 139789055369216 File /usr/lib/python3.10/html/parser.py first seen with mtime 1667415218.0
DEBUG 2022-11-11 13:26:01,889 autoreload 8970 139789055369216 File /usr/lib/python3.10/lib-dynload/termios.cpython-310-x86_64-linux-gnu.so first seen with mtime 1667415218.0
DEBUG 2022-11-11 13:26:01,889 autoreload 8970 139789055369216 File /home/abe/.local/lib/python3.10/site-packages/rest_framework/status.py first seen with mtime 1664276899.0261247
DEBUG 2022-11-11 13:26:01,889 autoreload 8970 139789055369216 File /usr/lib/python3.10/traceback.py first seen with mtime 1667415218.0
DEBUG 2022-11-11 13:26:01,889 autoreload 8970 139789055369216 File /usr/lib/python3.10/platform.py first seen with mtime 1667415218.0
DEBUG 2022-11-11 13:26:01,889 autoreload 8970 139789055369216 File /home/abe/.local/lib/python3.10/site-packages/django/dispatch/__init__.py first seen with mtime 1664276553.408731
DEBUG 2022-11-11 13:26:01,889 autoreload 8970 139789055369216 File /usr/lib/python3.10/concurrent/futures/thread.py first seen with mtime 1667415218.0
DEBUG 2022-11-11 13:26:01,889 autoreload 8970 139789055369216 File /home/abe/.local/lib/python3.10/site-packages/sqlparse/engine/__init__.py first seen with mtime 1664276551.4847
DEBUG 2022-11-11 13:26:01,889 autoreload 8970 139789055369216 File /usr/lib/python3.10/csv.py first seen with mtime 1667415218.0
DEBUG 2022-11-11 13:26:01,889 autoreload 8970 139789055369216 File /home/abe/.local/lib/python3.10/site-packages/django/utils/lorem_ipsum.py first seen with mtime 1664276553.476732
DEBUG 2022-11-11 13:26:01,889 autoreload 8970 139789055369216 File /usr/lib/python3.10/lib-dynload/_contextvars.cpython-310-x86_64-linux-gnu.so first seen with mtime 1667415218.0
DEBUG 2022-11-11 13:26:01,889 autoreload 8970 139789055369216 File /home/abe/.local/lib/python3.10/site-packages/psycopg2/errors.py first seen with mtime 1664278236.687255
